sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
50014486,6.0,7.0,3.2,,,,6.75,7.5,8.5,N1
51008287,7.0,7.25,5.2,,,,8.0,8.75,9.25,N1
2014099,7.4,5.5,9.0,7.25,6.0,6.5,,,,N1
42005087,7.0,8.25,6.4,,,,7.75,8.25,8.75,N1
1017872,6.0,7.75,,,,,4.75,6.25,,
54005120,7.2,5.75,3.4,5.5,5.0,7.0,,,,N1
19002915,4.8,9.0,5.8,,,,8.25,9.25,9.0,N1
13000302,8.2,9.0,9.2,,,,8.75,7.75,9.25,N1
22008390,4.2,8.0,,,,,5.5,6.0,,
49008760,6.4,7.0,,,,,4.0,4.25,,
24009509,7.6,8.25,7.4,5.5,7.25,6.25,,,,N1
17017471,6.4,7.0,6.0,,,,4.75,5.75,8.25,N1
52001448,9.0,9.25,9.2,7.75,8.5,7.75,,,,N1
37014505,7.2,7.0,8.0,,,,7.0,7.0,7.5,N1
25004328,4.8,5.25,,,,,6.5,6.0,,
55009668,8.0,6.0,5.2,8.25,6.75,4.75,,,,N1
64002526,6.8,7.75,5.8,,,,5.75,6.75,8.5,N1
17005418,7.8,8.0,6.8,,,,6.0,6.0,7.75,N1
39009228,7.4,7.75,7.6,,,,6.25,7.75,8.5,N1
49009634,7.2,7.0,4.4,8.0,5.5,5.25,,,,N1
46004700,5.4,6.75,4.2,,,,5.75,7.0,9.25,N1
3007658,7.2,9.0,7.0,,,,8.75,9.0,9.0,N1
51013091,6.6,6.5,4.8,2.75,3.75,7.0,,,,N1
1010362,7.4,9.0,8.0,,,,6.5,7.5,8.0,N1
16014161,6.4,9.25,5.4,,,,7.5,7.25,9.0,N1
25011310,7.4,7.5,6.6,8.75,8.75,6.5,,,,N1
10003862,5.8,6.5,4.8,,,,6.75,7.75,8.75,N1
15010977,5.8,7.75,6.0,,,,7.25,6.75,8.0,N1
19000740,8.4,8.5,7.6,9.0,5.25,6.75,,,,N1
25021372,7.2,6.25,4.0,,,,5.5,8.0,7.25,N1
2070570,6.4,6.75,,,,,8.75,8.0,,
22006177,6.8,5.5,3.2,,,,9.0,8.75,8.5,N1
10006946,6.6,7.5,4.0,,,,4.75,7.25,6.75,N1
42012720,6.6,6.25,3.6,,,,7.0,7.75,8.75,N1
1019472,5.4,8.5,5.2,,,,7.25,5.75,7.75,N1
18010185,6.6,7.5,5.2,,,,6.75,6.5,9.5,N1
17007155,6.6,7.0,7.8,6.0,7.0,6.5,,,,N1
34015881,3.4,3.75,2.8,,,,4.5,4.5,4.75,N1
51011436,6.4,7.75,6.6,,,,6.75,7.25,8.25,N1
1026150,2.6,3.25,2.4,,,,2.75,4.75,5.0,N1
13001069,3.2,8.5,4.0,,,,8.75,8.75,8.5,N1
2083449,7.4,7.75,9.0,9.0,7.5,7.5,,,,N1
15000934,8.8,8.25,8.8,8.75,4.75,5.75,,,,N1
19011669,6.6,9.25,4.8,,,,7.75,9.0,7.75,N1
46003778,7.8,6.5,7.8,8.0,8.75,5.75,,,,N1
33012431,7.8,8.5,7.2,,,,8.25,8.75,9.0,N1
41005373,4.2,5.75,,,,,4.75,6.0,,
9002684,5.0,7.0,3.2,,,,6.0,5.75,8.0,N1
56009525,5.6,7.0,,,,,5.75,7.5,,
42002151,5.2,6.75,5.0,,,,5.75,7.75,8.5,N1
12013051,8.4,,,8.25,7.5,,,,,
2044199,5.2,7.25,6.2,,,,,,,N1
57002706,6.6,6.25,5.8,6.75,7.75,6.25,,,,N1
59005120,7.0,7.75,3.6,,,,6.25,7.75,9.25,N1
13005037,4.8,5.25,4.2,,,,5.25,7.75,8.5,N1
2068966,6.0,3.5,4.6,,,,4.5,7.5,7.0,N1
1095128,8.6,8.75,7.2,,,,8.25,7.75,8.25,N1
21021632,5.8,8.5,3.4,,,,5.5,7.5,7.75,N1
10007318,2.0,1.25,,,,,4.75,6.0,,
37008475,6.8,8.0,4.6,,,,7.25,8.75,9.25,N1
3018720,6.8,8.5,6.0,,,,9.0,8.0,9.0,N1
33008391,7.2,5.5,4.2,4.0,6.0,4.5,,,,N1
48015753,7.0,7.25,5.4,5.0,7.25,7.25,,,,N1
30001168,6.2,8.5,5.2,,,,7.0,8.75,7.25,N1
16012441,6.0,8.25,6.2,,,,9.25,8.25,9.75,N1
17016698,4.2,5.75,2.0,,,,4.75,4.75,7.5,N1
17015148,7.2,7.5,,,,,7.25,9.5,,
58007691,6.4,8.0,5.0,3.5,4.75,6.0,,,,N1
14008277,3.0,5.75,,,,,6.0,5.0,,
35006435,4.2,6.0,5.0,,,,4.25,6.0,6.75,N1
37007519,7.4,5.75,3.8,,,,6.5,6.5,8.0,N1
37009989,6.4,6.5,,,,,6.0,8.0,,
41001807,7.2,6.5,3.6,,,,6.75,6.75,8.5,N1
2081956,5.8,6.75,5.2,,,,5.75,5.75,6.25,N1
